"id","name","type1","type2","hp","attack","defense","special_attack","special_defense","speed","sprite"
79,"slowpoke","water","psychic",90,65,65,40,40,15,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png"
80,"slowbro","water","psychic",95,75,110,100,80,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png"
81,"magnemite","electric","steel",25,35,70,95,55,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png"
82,"magneton","electric","steel",50,60,95,120,70,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png"
83,"farfetchd","normal","flying",52,90,55,58,62,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png"
84,"doduo","normal","flying",35,85,45,35,35,75,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png"
85,"dodrio","normal","flying",60,110,70,60,60,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png"
86,"seel","water",NA,65,45,55,45,70,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png"
87,"dewgong","water","ice",90,70,80,70,95,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png"
88,"grimer","poison",NA,80,80,50,40,50,25,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png"
89,"muk","poison",NA,105,105,75,65,100,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png"
90,"shellder","water",NA,30,65,100,45,25,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png"
91,"cloyster","water","ice",50,95,180,85,45,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png"
92,"gastly","ghost","poison",30,35,30,100,35,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png"
93,"haunter","ghost","poison",45,50,45,115,55,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png"
94,"gengar","ghost","poison",60,65,60,130,75,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png"
95,"onix","rock","ground",35,45,160,30,45,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png"
96,"drowzee","psychic",NA,60,48,45,43,90,42,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png"
97,"hypno","psychic",NA,85,73,70,73,115,67,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png"
98,"krabby","water",NA,30,105,90,25,25,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png"
99,"kingler","water",NA,55,130,115,50,50,75,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png"
100,"voltorb","electric",NA,40,30,50,55,55,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png"
101,"electrode","electric",NA,60,50,70,80,80,150,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png"
102,"exeggcute","grass","psychic",60,40,80,60,45,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png"
103,"exeggutor","grass","psychic",95,95,85,125,75,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png"
104,"cubone","ground",NA,50,50,95,40,50,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png"
105,"marowak","ground",NA,60,80,110,50,80,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png"
106,"hitmonlee","fighting",NA,50,120,53,35,110,87,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png"
107,"hitmonchan","fighting",NA,50,105,79,35,110,76,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png"
108,"lickitung","normal",NA,90,55,75,60,75,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png"
109,"koffing","poison",NA,40,65,95,60,45,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png"
110,"weezing","poison",NA,65,90,120,85,70,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png"
111,"rhyhorn","ground","rock",80,85,95,30,30,25,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png"
112,"rhydon","ground","rock",105,130,120,45,45,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png"
113,"chansey","normal",NA,250,5,5,35,105,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png"
114,"tangela","grass",NA,65,55,115,100,40,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png"
115,"kangaskhan","normal",NA,105,95,80,40,80,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png"
116,"horsea","water",NA,30,40,70,70,25,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png"
117,"seadra","water",NA,55,65,95,95,45,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png"
118,"goldeen","water",NA,45,67,60,35,50,63,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png"
119,"seaking","water",NA,80,92,65,65,80,68,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png"
120,"staryu","water",NA,30,45,55,70,55,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png"
121,"starmie","water","psychic",60,75,85,100,85,115,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png"
122,"mr-mime","psychic","fairy",40,45,65,100,120,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png"
123,"scyther","bug","flying",70,110,80,55,80,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png"
124,"jynx","ice","psychic",65,50,35,115,95,95,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png"
125,"electabuzz","electric",NA,65,83,57,95,85,105,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png"
126,"magmar","fire",NA,65,95,57,100,85,93,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png"
127,"pinsir","bug",NA,65,125,100,55,70,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png"
128,"tauros","normal",NA,75,100,95,40,70,110,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png"
129,"magikarp","water",NA,20,10,55,15,20,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png"
130,"gyarados","water","flying",95,125,79,60,100,81,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png"
131,"lapras","water","ice",130,85,80,85,95,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png"
132,"ditto","normal",NA,48,48,48,48,48,48,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png"
133,"eevee","normal",NA,55,55,50,45,65,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png"
134,"vaporeon","water",NA,130,65,60,110,95,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png"
135,"jolteon","electric",NA,65,65,60,110,95,130,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png"
136,"flareon","fire",NA,65,130,60,95,110,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png"
137,"porygon","normal",NA,65,60,70,85,75,40,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png"
138,"omanyte","rock","water",35,40,100,90,55,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png"
139,"omastar","rock","water",70,60,125,115,70,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png"
140,"kabuto","rock","water",30,80,90,55,45,55,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png"
141,"kabutops","rock","water",60,115,105,65,70,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png"
142,"aerodactyl","rock","flying",80,105,65,60,75,130,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png"
143,"snorlax","normal",NA,160,110,65,65,110,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png"
144,"articuno","ice","flying",90,85,100,95,125,85,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png"
145,"zapdos","electric","flying",90,90,85,125,90,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png"
146,"moltres","fire","flying",90,100,90,125,85,90,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png"
147,"dratini","dragon",NA,41,64,45,50,50,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png"
148,"dragonair","dragon",NA,61,84,65,70,70,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png"
149,"dragonite","dragon","flying",91,134,95,100,100,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png"
150,"mewtwo","psychic",NA,106,110,90,154,90,130,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png"
